amazon	Amazon (USA, Europe).png
americascupchallenge	America's Cup Challenge (Europe).png
american3dpool	American 3D Pool (Europe).png
americanfootball	American Football (Europe).png
americanroadrace	American Road Race (Europe).png
americantagteamwrestling	American Tag Team Wrestling (Europe).png
anarchy	Anarchy (Europe).png
andycapp	Andy Capp (Europe).png
angleball	Angleball (Europe) (Budget).png
annihilator	Annihilator (Europe).png
antattack	Ant Attack (USA, Europe) (Budget).png
anterplanter	Anter Planter (Europe).png
antics	Antics (Europe).png
apacheraid	Apache Raid (Europe).png
apachestrike	Apache Strike (USA, Europe).png
apollo18missiontomoon	Apollo 18 - Mission to the Moon (Europe).png
aquanaut	Aquanaut (Europe).png
aquaplane	Aquaplane (Europe).png
arac	Arac (USA, Europe).png
arcofyesod	Arc of Yesod, The (Europe).png
arcadeflightsimulator	Arcade Flight Simulator (Europe).png
arcadefruitmachine	Arcade Fruit Machine (Europe).png
arcadegameconstructionkit	Arcade Game Construction Kit (USA).png
arcadia64	Arcadia 64 (Europe).png
arcana	Arcana (Europe).png
archon	Archon (USA, Europe).png
archonlightanddark	Archon - The Light and the Dark (USA, Europe).png
archon2adept	Archon 2 - Adept (Europe).png
arcticfox	Arctic Fox (Europe).png
ardokbarbarian	Ardok the Barbarian (USA).png
argosexpedition	Argos Expedition, The (USA, Europe).png
arkpandora	Ark Pandora (Europe).png
arkanoid	Arkanoid (Europe).png
arkanoidrevengeofdoh	Arkanoid - Revenge of Doh (Europe).png
armageddon	Armageddon (Europe).png
armageddonman	Armageddon Man, The (Europe).png
armalyte	Armalyte (Europe).png
armourdillo	Armourdillo (Europe).png
armydays	Army Days (Europe).png
armymoves	Army Moves (Europe).png
arnie	Arnie (Europe).png
arniearmchairshowzatcricketgame	Arnie Armchair's Howzat Cricket Game (USA, Europe).png
arnie2	Arnie II (Europe).png
artilleryduel	Artillery Duel (USA, Europe).png
artura	Artura (Europe).png
aspargrandprixmaster	Aspar Grand Prix Master (Europe).png
assaultmachine	Assault Machine (USA, Europe).png
asterixandmagiccauldron	Asterix and the Magic Cauldron (Europe).png
astonishingadventuresofmrweemsandshevampires	Astonishing Adventures of Mr. Weems and the She-Vampires, The (Europe).png
astrochase	Astro Chase (Europe).png
astromarinecorps	Astro Marine Corps (Europe).png
astroblitz	Astroblitz (USA, Europe).png
asylum	Asylum (USA, Europe) (v3.0c).png
athena	Athena (Europe).png
atlantis	Atlantis (Germany).png
atomant	Atom Ant (Europe).png
atomicrobokid	Atomic Robo-Kid (Europe).png
atomino	Atomino (Germany).png
atomix	Atomix (Europe).png
attackofmutantcamels	Attack of the Mutant Camels (Europe).png
attackofphantomkaratedevils	Attack of the Phantom Karate Devils, The (USA, Europe).png
aufwiedersehenmonty	Auf Wiedersehen Monty (Europe).png
auriga	Auriga (Europe).png
australianrulesfootball	Australian Rules Football (Europe).png
